"","recid","ASVAB_gs","ASVAB_ar","ASVAB_wk","ASVAB_pc","ASVAB_no","ASVAB_cs","ASVAB_asi","ASVAB_mk","ASVAB_mc","ASVAB_ei","RSE1_1980","RSE2_1980","RES3_1980","RES4_1980","RES5_1980","RES6_1980","RES7_1980","RES8_1980","RES9_1980","RES10_1980","ROSENBERG_SCORE_1980","ROTTER_1A_1979","ROTTER_1B_1979","ROTTER_2A_1979","ROTTER_2B_1979","ROTTER_3A_1979","ROTTER_3B_1979","ROTTER_4A_1979","ROTTER_4B_1979","ROTTER_SCORE_1979","med","nsib","race","male","nuclear","urban","moth_age_birth","income","cross_sction","sex","fed","yob","ageASVAB","ageRES","ageROTTER","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"1",7,46,45,51,41,49,43,48,46,40,49,1,1,4,2,4,2,1,3,4,3,26,2,1,2,1,1,1,1,2,12,12,1,3,1,0,1,21,16.9969444274902,1,1,12,1964,17,16,15,11,12,12,12,12,12,12,12,12,0,0,0,0,3
"2",9,52,54,52,47,55,50,48,49,48,58,1,1,4,1,4,1,1,4,2,2,26,1,1,1,1,1,1,2,1,4,12,4,3,1,0,1,18,53.1784286499023,1,1,10,1963,18,17,16,11,12,12,12,12,13,13,13,13,14,0,0,0,3
"3",14,52,61,57,62,59,54,51,68,63,56,2,2,4,2,4,2,2,3,2,3,21,1,2,1,1,1,1,2,2,6,12,2,3,0,1,1,32,40.0965232849121,1,2,12,1963,18,17,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"4",15,58,59,57,59,58,59,48,48,57,53,2,2,4,2,4,2,2,3,3,4,23,1,1,2,2,1,1,1,2,8,12,1,3,1,1,1,27,65.0251922607422,1,1,12,1964,17,16,15,10,11,12,13,14,15,16,16,16,16,0,0,0,3
"5",21,48,65,59,56,62,61,58,68,63,42,1,1,4,1,4,1,1,3,3,4,28,1,1,1,2,1,1,1,2,7,12,2,3,0,1,1,25,112.113052368164,1,2,18,1961,20,19,18,11,12,13,14,15,15,16,16,16,16,16,16,0,3
"6",22,56,62,56,59,57,49,46,63,61,56,2,2,3,2,3,3,3,3,3,2,17,1,1,2,2,1,2,2,1,7,12,1,3,0,1,1,37,51.0536575317383,1,2,12,1963,18,17,16,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"7",26,64,65,59,59,62,59,67,68,67,70,1,1,4,1,4,2,1,3,2,3,25,1,2,1,1,1,1,1,1,8,16,2,3,1,0,1,22,60.6658973693848,1,1,17,1962,19,18,17,11,12,13,14,14,14,14,15,16,16,16,0,0,3
"8",28,56,66,59,53,60,53,48,68,44,39,1,2,3,2,3,2,2,2,2,3,19,2,1,2,2,2,2,1,2,13,14,1,3,0,1,1,26,78.5160675048828,1,2,20,1964,17,16,15,10,11,11,12,12,12,12,12,12,12,0,0,0,3
"9",35,42,46,54,50,52,53,44,46,50,39,1,1,4,1,4,2,2,3,4,4,27,2,2,1,1,1,2,1,1,10,12,5,3,0,0,0,40,35.5231018066406,1,2,12,1963,18,17,16,11,12,13,13,13,13,13,13,13,13,0,0,0,3
"10",38,38,38,38,44,47,53,44,37,48,34,2,2,4,2,4,2,2,4,2,3,22,1,2,2,1,1,2,2,1,9,12,4,3,0,1,1,32,104.479713439941,1,2,12,1962,19,18,17,10,11,12,12,12,12,12,12,12,12,12,0,0,3
"11",42,48,42,38,38,52,45,48,41,46,42,1,1,3,2,4,2,2,3,4,4,25,1,1,1,1,1,1,1,1,7,14,1,3,1,1,1,22,63.7354049682617,1,1,12,1963,18,17,16,10,11,12,12,12,12,12,12,12,12,0,0,0,3
"12",44,44,49,48,50,52,54,46,43,46,49,2,2,3,2,3,2,2,3,3,3,20,2,2,1,1,1,1,2,2,7,12,4,3,0,1,1,30,79.1926574707031,1,2,12,1961,20,19,18,10,11,12,12,12,12,12,12,12,12,12,12,12,3
"13",46,48,45,52,62,62,66,44,62,52,56,1,1,4,1,4,1,1,4,4,4,30,1,2,1,2,1,2,2,2,8,12,0,3,0,0,1,25,84.359245300293,1,2,12,1962,19,18,17,10,11,12,13,14,15,16,16,16,17,17,0,0,3
"14",61,64,64,61,62,62,65,49,68,63,65,2,2,3,2,3,2,2,3,3,3,20,1,2,1,1,1,1,1,2,7,12,3,3,0,1,1,29,109.285781860352,1,2,16,1962,19,18,17,11,12,12,12,13,13,13,14,14,14,14,0,0,3
"15",62,42,42,48,47,49,37,51,44,46,42,1,2,3,1,3,2,1,2,3,3,22,1,2,2,2,1,1,1,2,9,12,3,3,0,1,0,31,94.6404113769531,1,2,16,1964,17,16,15,11,12,12,12,12,12,12,12,12,0,0,0,0,3
"16",64,58,59,61,59,49,46,46,62,48,56,1,1,4,2,3,1,1,4,4,4,28,2,2,1,2,1,1,2,2,8,15,3,3,1,1,1,27,86.798957824707,1,1,12,1961,20,19,18,11,12,12,12,12,12,12,13,0,0,0,0,0,3
"17",65,46,51,59,53,61,63,42,60,33,39,2,2,3,2,4,1,2,2,1,3,19,2,1,2,2,1,1,1,1,12,16,3,3,0,1,1,29,94.0317459106445,1,2,12,1963,18,17,16,11,12,13,14,15,16,0,0,0,0,0,0,0,3
"18",66,46,36,46,35,35,38,51,41,33,49,2,2,4,2,3,2,2,3,2,3,20,2,2,1,2,1,2,1,1,11,12,3,3,1,1,1,32,69.105354309082,1,1,17,1964,17,16,15,10,11,12,13,14,14,14,14,14,14,0,0,0,3
"19",68,68,66,61,62,61,69,53,68,55,56,1,1,4,1,4,1,1,4,4,3,29,1,1,1,1,1,2,1,2,7,16,1,3,0,1,1,37,107.715599060059,1,2,17,1962,19,18,17,10,11,12,13,14,15,16,16,16,16,16,16,0,3
