"","recid","ASVAB_GS","ASVAB_AR","ASVAB_WK","ASVAB_PC","ASVAB_NO","ASVAB_CS","ASVAB_AI","ASVAB_SI","ASVAB_MK","ASVAB_MC","ASVAB_EI","ASVAB_AO","sex","moth_age_birth","cross_sction","med","race","nsib","nuclear","urban","income","fed","yob","AGE_ASVAB","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"1",1,-1204,4,-852,-404,23537,13731,-1122,-1493,1057,-1997,-1951,217,2,26,1,8,4,1,1,1,152.480865478516,16,1981,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"2",3,-868,-1458,-1361,-135,13780,8743,-923,-1073,-735,-1158,-1349,-1752,2,26,1,12,2,1,0,1,67.5855102539062,NA,1983,16,11,12,13,13,13,13,0,0,0,0,0,0,0,3
"3",4,-1011,-622,-647,-156,23429,10022,-1236,-1933,998,-907,-998,-233,2,33,1,12,2,1,0,1,11.3714542388916,12,1981,18,11,12,12,12,12,12,12,12,13,13,13,13,0,3
"4",6,-683,-1967,-604,-304,6375,3532,-1476,-1608,-1090,-1072,-1972,-1067,2,25,1,12,2,3,0,1,6.30000019073486,NA,1982,17,11,12,12,12,12,12,12,12,12,12,13,0,0,3
"5",16,130,-204,-178,-1488,18238,-5076,-800,-2359,730,-1846,-1242,-1139,1,34,1,11,2,1,0,1,13.946216583252,10,1982,17,10,11,12,12,13,14,15,16,16,16,16,0,0,3
"6",17,-639,-237,-946,-534,12087,6299,-1515,-1517,26,-414,-1286,218,2,17,1,14,2,4,0,1,15.8919239044189,NA,1981,18,9,10,10,10,10,10,10,10,10,10,10,10,0,3
"7",20,-1244,-151,-1639,-2054,8797,2477,-1684,-1550,-990,-1309,-2524,-1425,1,23,1,11,1,2,0,1,1.05638766288757,10,1980,19,8,8,8,8,8,8,8,8,8,8,8,8,8,3
"8",21,-1460,-1371,-1908,-2295,11321,-365,-1936,-1859,-1508,-791,-2491,-1565,1,28,1,13,2,2,0,1,39.5296096801758,11,1982,17,8,8,8,8,8,8,8,8,8,8,8,0,0,3
"9",23,-1514,-1824,-2193,-1217,6836,-314,-1854,-2627,-1639,-1737,-2346,-1600,2,32,1,10,2,2,0,1,16.0234127044678,10,1983,16,10,11,12,12,12,12,13,14,14,15,0,0,0,3
"10",28,-1553,-1020,-1337,-758,12728,4291,-1850,-524,-1729,-363,-749,-1109,2,18,1,12,1,2,0,1,13.946216583252,12,1983,16,11,12,13,14,15,16,17,17,17,17,0,0,0,3
"11",33,1188,1349,1508,957,25801,13084,-1208,-216,1647,746,-83,936,2,35,1,14,4,1,1,1,79.4931716918945,16,1980,19,11,12,13,14,15,15,16,16,16,16,16,16,0,3
"12",36,-154,-474,49,792,15206,7682,-967,-925,88,-481,-429,-1091,2,29,1,15,4,2,1,1,40.2106971740723,16,1980,19,11,12,12,12,12,12,12,12,12,12,12,12,13,3
"13",47,-905,-654,-680,28,19743,9010,-1321,-1427,223,-704,-1530,-391,2,19,1,11,1,2,0,1,6,NA,1982,17,11,11,12,12,13,14,14,14,14,14,14,0,0,3
"14",48,-1176,-557,-374,439,12902,5462,-1158,-1283,54,-342,-830,-332,2,20,1,11,1,2,0,1,23.285623550415,NA,1983,16,11,12,13,14,14,14,15,16,16,16,0,0,0,3
"15",51,-814,-191,581,312,24708,4752,-1275,-1173,457,61,-392,92,1,16,1,12,1,4,0,1,4.02294731140137,NA,1980,19,11,12,12,13,13,13,13,13,13,13,13,13,13,3
"16",52,-903,-799,-947,-954,15881,3483,-1277,-1524,-570,-620,-1055,-1593,1,19,1,12,1,4,0,1,4.02294731140137,NA,1983,16,11,11,11,12,12,12,12,12,12,12,0,0,0,3
"17",56,1553,1024,797,1214,22352,12385,-535,-697,1299,-240,426,1100,2,41,1,18,4,2,1,1,110.305000305176,16,1982,17,11,12,13,14,15,16,17,17,18,18,18,0,0,3
